,layer,pos,prob
176,25,1,0.026777256280183792
177,25,2,0.02654113434255123
178,25,3,0.03913840651512146
179,25,4,0.03179623931646347
180,25,5,0.03620896488428116
181,25,6,0.23839394748210907
182,26,0,0.02616940252482891
183,26,1,0.02694126032292843
184,26,2,0.026482069864869118
185,26,3,0.052093639969825745
186,26,4,0.032710690051317215
187,26,5,0.04064973071217537
188,26,6,0.3680860102176666
189,27,0,0.02617058716714382
190,27,1,0.02682817541062832
191,27,2,0.026035265997052193
192,27,3,0.05220700800418854
193,27,4,0.03279229626059532
194,27,5,0.042134784162044525
195,27,6,0.550580620765686
196,28,0,0.026170548051595688
197,28,1,0.026995521038770676
198,28,2,0.026265813037753105
199,28,3,0.043390776962041855
200,28,4,0.03325299918651581
201,28,5,0.04321230575442314
202,28,6,0.5133628249168396
203,29,0,0.02617523819208145
204,29,1,0.026882493868470192
205,29,2,0.026085373014211655
206,29,3,0.046809833496809006
207,29,4,0.034062180668115616
208,29,5,0.04610569775104523
209,29,6,0.598724365234375
210,30,0,0.026178384199738503
211,30,1,0.026363803073763847
212,30,2,0.025866122916340828
213,30,3,0.043105024844408035
214,30,4,0.033394601196050644
215,30,5,0.04452125355601311
216,30,6,0.5646910667419434
217,31,0,0.026179976761341095
218,31,1,0.02613747864961624
219,31,2,0.02577081136405468
220,31,3,0.04338272660970688
221,31,4,0.033677902072668076
222,31,5,0.04639025032520294
223,31,6,0.7128325700759888
224,32,0,0.02618408016860485
225,32,1,0.026129338890314102
226,32,2,0.02622763253748417
227,32,3,0.04672202095389366
228,32,4,0.03440917283296585
229,32,5,0.047779034823179245
230,32,6,0.8075515627861023
231,33,0,0.026191696524620056
232,33,1,0.0261817779392004
233,33,2,0.026119114831089973
234,33,3,0.045612774789333344
235,33,4,0.03495408594608307
236,33,5,0.04682466387748718
237,33,6,0.7982736825942993
238,34,0,0.02620309218764305
239,34,1,0.025967007502913475
240,34,2,0.025837279856204987
241,34,3,0.04252734035253525
242,34,4,0.03443402051925659
243,34,5,0.04508906230330467
244,34,6,0.7928358912467957
245,35,0,0.026202751323580742
246,35,1,0.025939635932445526
247,35,2,0.026179680600762367
248,35,3,0.0313863642513752
249,35,4,0.030611028894782066
250,35,5,0.03625008463859558
251,35,6,0.6554469466209412
252,36,0,0.026209350675344467
253,36,1,0.026003403589129448
254,36,2,0.026291627436876297
255,36,3,0.028225960209965706
256,36,4,0.028881032019853592
257,36,5,0.03267436474561691
258,36,6,0.6071114540100098
259,37,0,0.026209553703665733
260,37,1,0.026158610358834267
261,37,2,0.02631937712430954
262,37,3,0.027695853263139725
263,37,4,0.028046004474163055
264,37,5,0.030616091564297676
265,37,6,0.4155272841453552
266,38,0,0.02621072344481945
267,38,1,0.025798823684453964
268,38,2,0.026206335052847862
269,38,3,0.02800009772181511
270,38,4,0.02849128656089306
271,38,5,0.031755924224853516
272,38,6,0.6089913845062256
273,39,0,0.026209302246570587
274,39,1,0.025839848443865776
275,39,2,0.026102541014552116
276,39,3,0.027203181758522987
277,39,4,0.027842486277222633
278,39,5,0.03061705268919468
279,39,6,0.5374636054039001
280,40,0,0.02620644122362137
281,40,1,0.02585289627313614
282,40,2,0.02617417834699154
283,40,3,0.027062594890594482
284,40,4,0.02745257504284382
285,40,5,0.029758837074041367
286,40,6,0.4557455778121948
287,41,0,0.026196561753749847
288,41,1,0.026082752272486687
289,41,2,0.026096493005752563
290,41,3,0.026805654168128967
291,41,4,0.02733593061566353
292,41,5,0.028980007395148277
293,41,6,0.2616111636161804
294,42,0,0.026186740025877953
295,42,1,0.02620600163936615
296,42,2,0.026150831952691078
297,42,3,0.026079488918185234
298,42,4,0.02700136788189411
299,42,5,0.02761896699666977
300,42,6,0.14974306523799896
301,43,0,0.026184311136603355
302,43,1,0.026303937658667564
303,43,2,0.026148077100515366
304,43,3,0.026218904182314873
305,43,4,0.02706512063741684
306,43,5,0.027659112587571144
307,43,6,0.1499723196029663
308,44,0,0.026172874495387077
309,44,1,0.026285499334335327
310,44,2,0.02611880749464035
311,44,3,0.026131372898817062
312,44,4,0.026958273723721504
313,44,5,0.027562087401747704
314,44,6,0.11482585966587067
315,45,0,0.02617032080888748
316,45,1,0.026305140927433968
317,45,2,0.02611530013382435
318,45,3,0.025924712419509888
319,45,4,0.026879698038101196
320,45,5,0.027386080473661423
321,45,6,0.10729914903640747
322,46,0,0.026171987876296043
323,46,1,0.02622693032026291
324,46,2,0.026144180446863174
325,46,3,0.026101524010300636
326,46,4,0.026802528649568558
327,46,5,0.02728104591369629
328,46,6,0.09054543077945709
329,47,0,0.026172548532485962
330,47,1,0.02620035596191883
331,47,2,0.026140818372368813
332,47,3,0.026209725067019463
333,47,4,0.0267639197409153
334,47,5,0.02732267789542675
335,47,6,0.09738019108772278
