,layer,pos,prob
168,24,0,0.026208652183413506
169,24,1,0.02823326177895069
170,24,2,0.03426012769341469
171,24,3,0.059912994503974915
172,24,4,0.025392508134245872
173,24,5,0.02567971497774124
174,24,6,0.020421642810106277
175,25,0,0.02619108185172081
176,25,1,0.02745828591287136
177,25,2,0.03439950942993164
178,25,3,0.048003219068050385
179,25,4,0.024145325645804405
180,25,5,0.02502407133579254
181,25,6,0.020070524886250496
182,26,0,0.026187406852841377
183,26,1,0.028082329779863358
184,26,2,0.03175979107618332
185,26,3,0.04016347974538803
186,26,4,0.024155594408512115
187,26,5,0.024528924375772476
188,26,6,0.022799260914325714
189,27,0,0.0261936504393816
190,27,1,0.029404165223240852
191,27,2,0.028306184336543083
192,27,3,0.04086846858263016
193,27,4,0.024493178352713585
194,27,5,0.025080284103751183
195,27,6,0.026768937706947327
196,28,0,0.026171909645199776
197,28,1,0.02935425564646721
198,28,2,0.02755158394575119
199,28,3,0.03637482598423958
200,28,4,0.025741292163729668
201,28,5,0.025466855615377426
202,28,6,0.028499795123934746
203,29,0,0.026178235188126564
204,29,1,0.028983840718865395
205,29,2,0.028930218890309334
206,29,3,0.039167460054159164
207,29,4,0.025710411369800568
208,29,5,0.024909764528274536
209,29,6,0.031588561832904816
210,30,0,0.02617177926003933
211,30,1,0.029543355107307434
212,30,2,0.030657527968287468
213,30,3,0.028632963076233864
214,30,4,0.025986336171627045
215,30,5,0.024869896471500397
216,30,6,0.03867705166339874
217,31,0,0.026149313896894455
218,31,1,0.02879117801785469
219,31,2,0.030255936086177826
220,31,3,0.027460049837827682
221,31,4,0.026288146153092384
222,31,5,0.02611411176621914
223,31,6,0.04662257432937622
224,32,0,0.026139914989471436
225,32,1,0.029057592153549194
226,32,2,0.03061714768409729
227,32,3,0.02686271071434021
228,32,4,0.02635178156197071
229,32,5,0.02631530724465847
230,32,6,0.05223443731665611
231,33,0,0.026133837178349495
232,33,1,0.029888587072491646
233,33,2,0.030705556273460388
234,33,3,0.02673933655023575
235,33,4,0.0266958549618721
236,33,5,0.026387425139546394
237,33,6,0.06290076673030853
238,34,0,0.026125697419047356
239,34,1,0.02936677075922489
240,34,2,0.028265519067645073
241,34,3,0.02722157910466194
242,34,4,0.026421086862683296
243,34,5,0.026363320648670197
244,34,6,0.07871052622795105
245,35,0,0.02611404098570347
246,35,1,0.02891799807548523
247,35,2,0.027989836409687996
248,35,3,0.02666870877146721
249,35,4,0.026242230087518692
250,35,5,0.026087647303938866
251,35,6,0.08086314052343369
252,36,0,0.02610441856086254
253,36,1,0.028644852340221405
254,36,2,0.028321396559476852
255,36,3,0.026930667459964752
256,36,4,0.02583853155374527
257,36,5,0.026307204738259315
258,36,6,0.08186034113168716
259,37,0,0.026106342673301697
260,37,1,0.028048230335116386
261,37,2,0.027040990069508553
262,37,3,0.025902580469846725
263,37,4,0.025638656690716743
264,37,5,0.025728100910782814
265,37,6,0.08628692477941513
266,38,0,0.02613491751253605
267,38,1,0.027343161404132843
268,38,2,0.027226174250245094
269,38,3,0.025992080569267273
270,38,4,0.025920186191797256
271,38,5,0.026100195944309235
272,38,6,0.06540541350841522
273,39,0,0.026170214638113976
274,39,1,0.02701198123395443
275,39,2,0.026959331706166267
276,39,3,0.02623145282268524
277,39,4,0.025945015251636505
278,39,5,0.026512177661061287
279,39,6,0.03815938159823418
280,40,0,0.026161719113588333
281,40,1,0.027435798197984695
282,40,2,0.02599024772644043
283,40,3,0.02630973793566227
284,40,4,0.02594728022813797
285,40,5,0.026100801303982735
286,40,6,0.0117115443572402
287,41,0,0.02618216909468174
288,41,1,0.027317548170685768
289,41,2,0.025965314358472824
290,41,3,0.02678947150707245
291,41,4,0.0261083971709013
292,41,5,0.026196448132395744
293,41,6,0.008242757990956306
294,42,0,0.026077404618263245
295,42,1,0.027227113023400307
296,42,2,0.025947770103812218
297,42,3,0.026629934087395668
298,42,4,0.026023853570222855
