,layer,pos,prob
0,0,0,0.021707233041524887
1,0,1,0.02487434633076191
2,0,2,0.04535399004817009
3,0,3,0.017632002010941505
4,0,4,0.02000291831791401
5,0,5,0.018322918564081192
6,0,6,0.01980692148208618
7,1,0,0.02171020768582821
8,1,1,0.02445816807448864
9,1,2,0.04780275747179985
10,1,3,0.018166854977607727
11,1,4,0.020480338484048843
12,1,5,0.01855359598994255
13,1,6,0.019623888656497
14,2,0,0.021712439134716988
15,2,1,0.0230297539383173
16,2,2,0.04868009313941002
17,2,3,0.017765460535883904
18,2,4,0.02022741362452507
19,2,5,0.018264543265104294
20,2,6,0.019743552431464195
21,3,0,0.021700803190469742
22,3,1,0.02366396225988865
23,3,2,0.04867427051067352
24,3,3,0.018099866807460785
25,3,4,0.020815199241042137
26,3,5,0.019091110676527023
27,3,6,0.01893925853073597
28,4,0,0.02169572003185749
29,4,1,0.022751368582248688
30,4,2,0.04863309487700462
31,4,3,0.018068725243210793
32,4,4,0.020632831379771233
33,4,5,0.018765470013022423
34,4,6,0.017499035224318504
35,5,0,0.02169463038444519
36,5,1,0.02287672832608223
37,5,2,0.04884232208132744
38,5,3,0.018240708857774734
39,5,4,0.020740065723657608
40,5,5,0.018655940890312195
41,5,6,0.023062435910105705
42,6,0,0.017855510115623474
43,6,1,0.022922329604625702
44,6,2,0.0436890535056591
45,6,3,0.016564473509788513
46,6,4,0.02005353942513466
47,6,5,0.019316164776682854
48,6,6,0.0269879512488842
49,7,0,0.018645597621798515
50,7,1,0.019646482542157173
51,7,2,0.03793759644031525
52,7,3,0.01764518767595291
53,7,4,0.019967345520853996
54,7,5,0.018429268151521683
55,7,6,0.02266521193087101
56,8,0,0.018582185730338097
57,8,1,0.019348330795764923
58,8,2,0.04623814672231674
59,8,3,0.018561748787760735
60,8,4,0.018566973507404327
61,8,5,0.01831326074898243
62,8,6,0.022860711440443993
63,9,0,0.01855066791176796
64,9,1,0.01817084476351738
65,9,2,0.03902792930603027
66,9,3,0.018357915803790092
67,9,4,0.01890936866402626
68,9,5,0.0181675273925066
69,9,6,0.02049538493156433
70,10,0,0.018537292256951332
71,10,1,0.018864288926124573
72,10,2,0.02756580524146557
73,10,3,0.018778707832098007
74,10,4,0.01867937482893467
75,10,5,0.018493298441171646
76,10,6,0.019992206245660782
77,11,0,0.018529662862420082
78,11,1,0.017335468903183937
79,11,2,0.024756964296102524
80,11,3,0.018585871905088425
81,11,4,0.018920883536338806
82,11,5,0.01829245500266552
83,11,6,0.019158635288476944
